  110,    Fields of Valor,    ,    Eastern Altepa Desert,    Auxiliarii/Fabers/Beetles
  111,    Fields of Valor,    ,    Eastern Altepa Desert,    Funditors/Fabers/Dhalmel
  112,    Fields of Valor,    ,    Eastern Altepa Desert,    Decurio/Sagittarii/Speculator/Manticore
  113,    Fields of Valor,    ,    Eastern Altepa Desert,    Poachers/Robbers/Reapers/Manticore
  114,    Fields of Valor,    ,    The Sanctuary of Zi'Tah,    Ogreflies/Goobbue
  115,    Fields of Valor,    ,    The Sanctuary of Zi'Tah,    Myxomycetes/Ogreflies
  116,    Fields of Valor,    ,    The Sanctuary of Zi'Tah,    Parasites/Myxomycetes
  117,    Fields of Valor,    ,    The Sanctuary of Zi'Tah,    Coeurls/Parasites
  118,    Fields of Valor,    ,    The Sanctuary of Zi'Tah,    Golems/Coeurls
  119,    Fields of Valor,    ,    Ro'Maeve,    Killing/Ominous Weapons
  120,    Fields of Valor,    ,    Ro'Maeve,    Flagons
  121,    Fields of Valor,    ,    Ro'Maeve,    Cursed Puppets
  122,    Fields of Valor,    ,    Ro'Maeve,    Apocalyptic Weapons/Golems
  123,    Fields of Valor,    ,    Ro'Maeve,    Infernal Weapons/Golems
  124,    Fields of Valor,    ,    Yuhtunga Jungle,    Mandragoras/Lizards
  125,    Fields of Valor,    ,    Yuhtunga Jungle,    Bees/Goblins
  126,    Fields of Valor,    ,    Yuhtunga Jungle,    Opo-opo
  127,    Fields of Valor,    ,    Yuhtunga Jungle,    Sahagin/Makara
  128,    Fields of Valor,    ,    Yuhtunga Jungle,    Opo-opo/Crawlers
  129,    Fields of Valor,    ,    Yhoator Jungle,    Lizards/Goblins
  130,    Fields of Valor,    ,    Yhoator Jungle,    Mandragora/Wasps
  131,    Fields of Valor,    ,    Yhoator Jungle,    Opo-opo
  132,    Fields of Valor,    ,    Yhoator Jungle,    Crawlers/Opo-opo
  133,    Fields of Valor,    ,    Yhoator Jungle,    Tonberry
  134,    Fields of Valor,    ,    Western Altepa Desert,    Spiders/Essedarii
  135,    Fields of Valor,    ,    Western Altepa Desert,    Dhalmel/Equites/Retiarius
  136,    Fields of Valor,    ,    Western Altepa Desert,    Beetles/Cactuar
  137,    Fields of Valor,    ,    Western Altepa Desert,    Goblins/Scorpions
  138,    Fields of Valor,    ,    Western Altepa Desert,    Secutors/Lanistae
  139,    Fields of Valor,    ,    Valley of Sorrows,    Raptors/Perytons
  140,    Fields of Valor,    ,    Valley of Sorrows,    Raptors/Manticores
  141,    Fields of Valor,    ,    Valley of Sorrows,    Perytons/Manticores
  142,    Fields of Valor,    ,    Ru'Aun Gardens,    Flamingo/Sprinkler
  143,    Fields of Valor,    ,    Ru'Aun Gardens,    Sprinklers/Dolls
  144,    Fields of Valor,    ,    Ru'Aun Gardens,    Dolls
  145,    Fields of Valor,    ,    Ru'Aun Gardens,    Fire/Air/Thunder Elementals
  146,    Fields of Valor,    ,    Ru'Aun Gardens,    Ice/Earth/Water Elementals
"RegimeID", "Regime Type", "Page", "Book Area(s)/NM Area(s)", "Target(s)"
  147,    Hunt Registry,    ,    ,    Fungus Beetle
  148,    Hunt Registry,    ,    ,    Jaggedy-Eared Jack
  149,    Hunt Registry,    ,    ,    Amanita
  150,    Hunt Registry,    ,    ,    Swamfisk
  151,    Hunt Registry,    ,    ,    Bigmouth Billy
  152,    Hunt Registry,    ,    ,    Rambukk
  153,    Hunt Registry,    ,    ,    Nihniknoovi
  154,    Hunt Registry,    ,    ,    Tumbling Truffle
  155,    Hunt Registry,    ,    ,    Slumbering Samwell
  156,    Hunt Registry,    ,    ,    Lumbering Lambert
  157,    Hunt Registry,    ,    ,    Panzer Percival
  158,    Hunt Registry,    ,    ,    Fraelissa
  159,    Hunt Registry,    ,    ,    Sappy Sycamore
  160,    Hunt Registry,    ,    ,    Supplespine Mujwuj
  161,    Hunt Registry,    ,    ,    Tottering Toby
  162,    Hunt Registry,    ,    ,    Skirling Liger
  163,    Hunt Registry,    ,    ,    Eyegouger
  164,    Hunt Registry,    ,    ,    Prankster Maverix
  165,    Hunt Registry,    ,    ,    Hercules Beetle
  166,    Hunt Registry,    ,    ,    Mycophile
  167,    Hunt Registry,    ,    ,    Orctrap
  168,    Hunt Registry,    ,    ,    Tempest Tigon
  169,    Hunt Registry,    ,    ,    Orcish Wallbreacher
  170,    Hunt Registry,    ,    ,    Thousandarm Deshglesh
  171,    Hunt Registry,    ,    ,    Orcish Barricader
  172,    Hunt Registry,    ,    ,    Hundredscar Hajwaj
  173,    Hunt Registry,    ,    ,    Kegpaunch Doshgnosh
  174,    Hunt Registry,    ,    ,    Chariotbuster Byakzak
  175,    Hunt Registry,    ,    ,    Barbastelle
  176,    Hunt Registry,    ,    ,    Ankou
  177,    Hunt Registry,    ,    ,    Gwyllgi
  178,    Hunt Registry,    ,    ,    Arioch
  179,    Hunt Registry,    ,    ,    Shii
  180,    Hunt Registry,    ,    ,    Manes
  181,    Hunt Registry,    ,    ,    Donggu
  182,    Hunt Registry,    ,    ,    Bombast
  183,    Hunt Registry,    ,    ,    Agar Agar
  184,    Hunt Registry,    ,    ,    Skull of Gluttony
  185,    Hunt Registry,    ,    ,    Skull of Greed
  186,    Hunt Registry,    ,    ,    Skull of Sloth
  187,    Hunt Registry,    ,    ,    Skull of Lust
  188,    Hunt Registry,    ,    ,    Skull of Pride
  189,    Hunt Registry,    ,    ,    Skull of Envy
  190,    Hunt Registry,    ,    ,    Skull of Wrath
  191,    Hunt Registry,    ,    ,    Cwn Cyrff
  192,    Hunt Registry,    ,    ,    Hawkeyed Dnatbat
  193,    Hunt Registry,    ,    ,    Tigerbane Bakdak
  194,    Hunt Registry,    ,    ,    Steelbiter Gudrud
  195,    Hunt Registry,    ,    ,    Poisonhand Gnadgad
  196,    Hunt Registry,    ,    ,    Blubbery Bulge
  197,    Hunt Registry,    ,    ,    Stinging Sophie
  198,    Hunt Registry,    ,    ,    Maighdean Uaine
  199,    Hunt Registry,    ,    ,    Bedrock Barry
  200,    Hunt Registry,    ,    ,    Leaping Lizzy
  201,    Hunt Registry,    ,    ,    Tococo
  202,    Hunt Registry,    ,    ,    Carnero
  203,    Hunt Registry,    ,    ,    Stray Mary
  204,    Hunt Registry,    ,    ,    Ghillie Dhu
  205,    Hunt Registry,    ,    ,    Rampaging Ram
  206,    Hunt Registry,    ,    ,    Highlander Lizard
  207,    Hunt Registry,    ,    ,    Metal Shears
  207,    Hunt Registry,    ,    ,    Metal Shears
  208,    Hunt Registry,    ,    ,    Golden Bat
  208,    Hunt Registry,    ,    ,    Golden Bat
  209,    Hunt Registry,    ,    ,    Valkurm Emperor
  209,    Hunt Registry,    ,    ,    Valkurm Emperor
  210,    Hunt Registry,    ,    ,    Hippomaritimus
  210,    Hunt Registry,    ,    ,    Hippomaritimus
  211,    Hunt Registry,    ,    ,    Bloodpool Vorax
  212,    Hunt Registry,    ,    ,    Jolly Green
  213,    Hunt Registry,    ,    ,    Toxic Tamlyn
  214,    Hunt Registry,    ,    ,    Ni'Zho Bladebender
  215,    Hunt Registry,    ,    ,    Black Triple Stars
  216,    Hunt Registry,    ,    ,    Drooling Daisy
  217,    Hunt Registry,    ,    ,    Ravenous Crawler
  218,    Hunt Registry,    ,    ,    Eldritch Edge
  219,    Hunt Registry,    ,    ,    Bu'Ghi Howlblade
  220,    Hunt Registry,    ,    ,    Zi'Ghi Boneeater
  221,    Hunt Registry,    ,    ,    Qu'Vho Deathhurler
  222,    Hunt Registry,    ,    ,    Be'Hya Hundredwall
  223,    Hunt Registry,    ,    ,    Teporingo
  224,    Hunt Registry,    ,    ,    Chocoboleech
  225,    Hunt Registry,    ,    ,    Geyser Lizard
  226,    Hunt Registry,    ,    ,    Cargo Crab Colin
  227,    Hunt Registry,    ,    ,    Falcatus Aranei
  228,    Hunt Registry,    ,    ,    Dame Blanche
  229,    Hunt Registry,    ,    ,    Thoon
  230,    Hunt Registry,    ,    ,    Smothered Schmidt
  231,    Hunt Registry,    ,    ,    Crushed Krause
  232,    Hunt Registry,    ,    ,    Pulverized Pfeffer
  233,    Hunt Registry,    ,    ,    Burned Bergmann
  234,    Hunt Registry,    ,    ,    Wounded Wurfel
  235,    Hunt Registry,    ,    ,    Asphyxiated Amsel
  236,    Hunt Registry,    ,    ,    Demonic Tiphia
  237,    Hunt Registry,    ,    ,    Dynast Beetle
  238,    Hunt Registry,    ,    ,    Aqrabuamelu
  239,    Hunt Registry,    ,    ,    Bi'Gho Headtaker
  240,    Hunt Registry,    ,    ,    Ge'Dha Evileye
  241,    Hunt Registry,    ,    ,    Da'Dha Hundredmask
  242,    Hunt Registry,    ,    ,    Zo'Khu Blackcloud
  243,    Hunt Registry,    ,    ,    Ga'Bhu Unvanquished
  244,    Hunt Registry,    ,    ,    Bugbear Strongman
  245,    Hunt Registry,    ,    ,    Goblin Wolfman
  246,    Hunt Registry,    ,    ,    Bugbear Muscleman
  247,    Hunt Registry,    ,    ,    Swashstox Beadblinker
  248,    Hunt Registry,    ,    ,    Bugbear Matman
  249,    Hunt Registry,    ,    ,    Sword Sorcerer Solisoq
  250,    Hunt Registry,    ,    ,    Tom Tit Tat
  251,    Hunt Registry,    ,    ,    Nunyenunc
  252,    Hunt Registry,    ,    ,    Numbing Norman
  253,    Hunt Registry,    ,    ,    Spiny Spipi
  254,    Hunt Registry,    ,    ,    Sharp-Eared Ropipi
  255,    Hunt Registry,    ,    ,    Duke Decapod
  256,    Hunt Registry,    ,    ,    Yara Ma Yha Who
  257,    Hunt Registry,    ,    ,    Serpopard Ishtar
  258,    Hunt Registry,    ,    ,    Habrok
  259,    Hunt Registry,    ,    ,    Herbage Hunter
  260,    Hunt Registry,    ,    ,    Wake Warder Wanda
  261,    Hunt Registry,    ,    ,    Buburimboo
  262,    Hunt Registry,    ,    ,    Helldiver
  263,    Hunt Registry,    ,    ,    Backoo
  264,    Hunt Registry,    ,    ,    Serra
  265,    Hunt Registry,    ,    ,    Intulo
  266,    Hunt Registry,    ,    ,    Shankha
  267,    Hunt Registry,    ,    ,    Splacknuck
  268,    Hunt Registry,    ,    ,    Daggerclaw Dracos
  269,    Hunt Registry,    ,    ,    Patripatan
  270,    Hunt Registry,    ,    ,    Chonchon
  271,    Hunt Registry,    ,    ,    Naa Zeku the Unwaiting
  272,    Hunt Registry,    ,    ,    Deadly Dodo
  273,    Hunt Registry,    ,    ,    Bashe
  274,    Hunt Registry,    ,    ,    Thunderclaw Thuban
  275,    Hunt Registry,    ,    ,    Blighting Brand
  276,    Hunt Registry,    ,    ,    Sekhmet
  277,    Hunt Registry,    ,    ,    Ambusher Antlion
  278,    Hunt Registry,    ,    ,    Citipati
  279,    Hunt Registry,    ,    ,    Sargas
  280,    Hunt Registry,    ,    ,    Juu Duzu the Whirlwind
  281,    Hunt Registry,    ,    ,    Hoo Mjuu the Torrent
  282,    Hunt Registry,    ,    ,    Vuu Puqu the Beguiler
  283,    Hunt Registry,    ,    ,    Quu Xijo the Illusory
  284,    Hunt Registry,    ,    ,    Canal Moocher
  285,    Hunt Registry,    ,    ,    Konjac
  286,    Hunt Registry,    ,    ,    Brazen Bones
  287,    Hunt Registry,    ,    ,    Nocuous Weapon
  288,    Hunt Registry,    ,    ,    Maltha
  289,    Hunt Registry,    ,    ,    Slendlix Spindlethumb
  290,    Hunt Registry,    ,    ,    Desmodont
  291,    Hunt Registry,    ,    ,    Ah Puch
  292,    Hunt Registry,    ,    ,    Legalox Heftyhind
  293,    Hunt Registry,    ,    ,    Trembler Tabitha
  294,    Hunt Registry,    ,    ,    Lesath
  295,    Hunt Registry,    ,    ,    Gloombound Lurker
  296,    Hunt Registry,    ,    ,    Hellion
  297,    Hunt Registry,    ,    ,    Peg Powler
  298,    Hunt Registry,    ,    ,    Soulstealer Skullnix
  299,    Hunt Registry,    ,    ,    Narasimha
  300,    Hunt Registry,    ,    ,    Hazmat
  301,    Hunt Registry,    ,    ,    Hovering Hotpot
  302,    Hunt Registry,    ,    ,    Frogamander
  303,    Hunt Registry,    ,    ,    Moo Ouzi the Swiftblade
  304,    Hunt Registry,    ,    ,    Saa Doyi the Fervid
  305,    Hunt Registry,    ,    ,    Yaa Haqa the Profane
  306,    Hunt Registry,    ,    ,    Lii Jixa the Somnolist
  307,    Hunt Registry,    ,    ,    Trickster Kinetix
  308,    Hunt Registry,    ,    ,    Slippery Sucker
  309,    Hunt Registry,    ,    ,    Qoofim
  310,    Hunt Registry,    ,    ,    Atkorkamuy
  311,    Hunt Registry,    ,    ,    Kirata
  312,    Hunt Registry,    ,    ,    Gargantua
  313,    Hunt Registry,    ,    ,    Calcabrina
  314,    Hunt Registry,    ,    ,    Humbaba
  315,    Hunt Registry,    ,    ,    Shadow Eye
  316,    Hunt Registry,    ,    ,    Duke Focalor
  317,    Hunt Registry,    ,    ,    Timeworn Warrior
  318,    Hunt Registry,    ,    ,    Barbaric Weapon
  319,    Hunt Registry,    ,    ,    Bonnacon
  320,    Hunt Registry,    ,    ,    Frost Flambeau
  321,    Hunt Registry,    ,    ,    Skvader
  322,    Hunt Registry,    ,    ,    Magnotaur
  323,    Hunt Registry,    ,    ,    Elusive Edwin
  324,    Hunt Registry,    ,    ,    Keeper of Halidom
  325,    Hunt Registry,    ,    ,    Bastet
  326,    Hunt Registry,    ,    ,    Huwasi
  327,    Hunt Registry,    ,    ,    Nightmare Vase
  328,    Hunt Registry,    ,    ,    Rogue Receptacle
  329,    Hunt Registry,    ,    ,    Martinet
  330,    Hunt Registry,    ,    ,    Nargun
  331,    Hunt Registry,    ,    ,    Enkelados
  332,    Hunt Registry,    ,    ,    Ixtab
  333,    Hunt Registry,    ,    ,    Autarch
  334,    Hunt Registry,    ,    ,    Eurytos
  335,    Hunt Registry,    ,    ,    Polybotes
  336,    Hunt Registry,    ,    ,    Rhoitos
  337,    Hunt Registry,    ,    ,    Ophion
  338,    Hunt Registry,    ,    ,    Rhoikos
  339,    Hunt Registry,    ,    ,    Ogygos
  340,    Hunt Registry,    ,    ,    Epialtes
  341,    Hunt Registry,    ,    ,    Hippolytos
  342,    Hunt Registry,    ,    ,    Eurymedon
  343,    Hunt Registry,    ,    ,    Tyrant
  344,    Hunt Registry,    ,    ,    Hyakume
  345,    Hunt Registry,    ,    ,    Mucoid Mass
  346,    Hunt Registry,    ,    ,    Gloom Eye
  347,    Hunt Registry,    ,    ,    Mind Hoarder
  348,    Hunt Registry,    ,    ,    Jenglot
  349,    Hunt Registry,    ,    ,    Sluagh
  350,    Hunt Registry,    ,    ,    Marquis Naberius
  351,    Hunt Registry,    ,    ,    Likho
  352,    Hunt Registry,    ,    ,    Marquis Sabnock
  353,    Hunt Registry,    ,    ,    Baronet Romwe
  354,    Hunt Registry,    ,    ,    Baron Vapula
  355,    Hunt Registry,    ,    ,    Count Bifrons
  356,    Hunt Registry,    ,    ,    Viscount Morax
  357,    Hunt Registry,    ,    ,    Ellyllon
  358,    Hunt Registry,    ,    ,    Aquarius
  359,    Hunt Registry,    ,    ,    Unut
  360,    Hunt Registry,    ,    ,    Leshonki
  361,    Hunt Registry,    ,    ,    Koropokkur
  361,    Hunt Registry,    ,    ,    Koropokkur
  362,    Hunt Registry,    ,    ,    Mischievous Micholas
  362,    Hunt Registry,    ,    ,    Mischievous Micholas
  363,    Hunt Registry,    ,    ,    Bayawak
  363,    Hunt Registry,    ,    ,    Bayawak
  364,    Hunt Registry,    ,    ,    Pyuu the Spatemaker
  364,    Hunt Registry,    ,    ,    Pyuu the Spatemaker
  365,    Hunt Registry,    ,    ,    Powderer Penny
  365,    Hunt Registry,    ,    ,    Powderer Penny
  366,    Hunt Registry,    ,    ,    Edacious Opo-opo
  366,    Hunt Registry,    ,    ,    Edacious Opo-opo
  367,    Hunt Registry,    ,    ,    Acolnahuacatl
  367,    Hunt Registry,    ,    ,    Acolnahuacatl
  368,    Hunt Registry,    ,    ,    Hoar-knuckled Rimberry
  368,    Hunt Registry,    ,    ,    Hoar-knuckled Rimberry
  369,    Hunt Registry,    ,    ,    Namtar
  369,    Hunt Registry,    ,    ,    Namtar
  370,    Hunt Registry,    ,    ,    Wuur the Sandcomber
  370,    Hunt Registry,    ,    ,    Wuur the Sandcomber
  371,    Hunt Registry,    ,    ,    Masan
  371,    Hunt Registry,    ,    ,    Masan
  372,    Hunt Registry,    ,    ,    Fyuu the Seabellow
  372,    Hunt Registry,    ,    ,    Fyuu the Seabellow
  373,    Hunt Registry,    ,    ,    Qull the Shellbuster
  373,    Hunt Registry,    ,    ,    Qull the Shellbuster
  374,    Hunt Registry,    ,    ,    Seww the Squidlimbed
  374,    Hunt Registry,    ,    ,    Seww the Squidlimbed
  375,    Hunt Registry,    ,    ,    Pahh the Gullcaller
  375,    Hunt Registry,    ,    ,    Pahh the Gullcaller
  376,    Hunt Registry,    ,    ,    Sea Hog
  376,    Hunt Registry,    ,    ,    Sea Hog
  377,    Hunt Registry,    ,    ,    Yarr the Pearleyed
  377,    Hunt Registry,    ,    ,    Yarr the Pearleyed
  378,    Hunt Registry,    ,    ,    Voll the Sharkfinned
  378,    Hunt Registry,    ,    ,    Voll the Sharkfinned
  379,    Hunt Registry,    ,    ,    Denn the Orcavoiced
  379,    Hunt Registry,    ,    ,    Denn the Orcavoiced
  380,    Hunt Registry,    ,    ,    Mouu the Waverider
  380,    Hunt Registry,    ,    ,    Mouu the Waverider
  381,    Hunt Registry,    ,    ,    Worr the Clawfisted
  381,    Hunt Registry,    ,    ,    Worr the Clawfisted
  382,    Hunt Registry,    ,    ,    Zuug the Shoreleaper
  382,    Hunt Registry,    ,    ,    Zuug the Shoreleaper
  383,    Hunt Registry,    ,    ,    Manipulator
  383,    Hunt Registry,    ,    ,    Manipulator
  384,    Hunt Registry,    ,    ,    Flauros
  384,    Hunt Registry,    ,    ,    Flauros
  385,    Hunt Registry,    ,    ,    Death from Above
  385,    Hunt Registry,    ,    ,    Death from Above
  386,    Hunt Registry,    ,    ,    Habetrot
  386,    Hunt Registry,    ,    ,    Habetrot
  387,    Hunt Registry,    ,    ,    Beryl-footed Molberry
  387,    Hunt Registry,    ,    ,    Beryl-footed Molberry
  388,    Hunt Registry,    ,    ,    Sozu Sarberry
  388,    Hunt Registry,    ,    ,    Sozu Sarberry
  389,    Hunt Registry,    ,    ,    Sozu Terberry
  389,    Hunt Registry,    ,    ,    Sozu Terberry
  390,    Hunt Registry,    ,    ,    Sozu Rogberry
  390,    Hunt Registry,    ,    ,    Sozu Rogberry
  391,    Hunt Registry,    ,    ,    Sacrificial Goblet
  391,    Hunt Registry,    ,    ,    Sacrificial Goblet
  392,    Hunt Registry,    ,    ,    Crimson-toothed Pawberry
  392,    Hunt Registry,    ,    ,    Crimson-toothed Pawberry
  393,    Hunt Registry,    ,    ,    Sozu Bliberry
  393,    Hunt Registry,    ,    ,    Sozu Bliberry
  394,    Hunt Registry,    ,    ,    Friar Rush
  394,    Hunt Registry,    ,    ,    Friar Rush
  395,    Hunt Registry,    ,    ,    Celeste-eyed Tozberry
  395,    Hunt Registry,    ,    ,    Celeste-eyed Tozberry
  396,    Hunt Registry,    ,    ,    Tawny-fingered Mugberry
  396,    Hunt Registry,    ,    ,    Tawny-fingered Mugberry
  397,    Hunt Registry,    ,    ,    Bistre-hearted Malberry
  397,    Hunt Registry,    ,    ,    Bistre-hearted Malberry
  398,    Hunt Registry,    ,    ,    Ogama
  398,    Hunt Registry,    ,    ,    Ogama
  399,    Hunt Registry,    ,    ,    Foreseer Oramix
  399,    Hunt Registry,    ,    ,    Foreseer Oramix
  400,    Hunt Registry,    ,    ,    Tyrannic Tunnok
  400,    Hunt Registry,    ,    ,    Tyrannic Tunnok
  401,    Hunt Registry,    ,    ,    Lindwurm
